Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
吗,ma,Question Particle,Do you?Is that?,你好吗？,Nǐ hǎo ma？,How are you?,你是老师吗？,Nǐ shì lǎoshī ma?,Are you a teacher?
听,tīng,Verb,"to listen, to hear",我喜欢听音乐。,Wǒ xǐhuan tīng yīnyuè.,I like to listen to music.,过马路的时候玩手机、听音乐都很危险。,"Guò mǎlù de shíhou wán shǒujī, tīng yīnyuè dōu hěn wēixiǎn.",Playing mobile phones or listening to music while crossing the road are very dangerous.
呢,ne,Question Particle,,我要喝咖啡，你呢？,"Wǒ yào hē kāfēi, nǐ ne?","I want to drink coffee, how about you?",身体健康比工作重要，你觉得呢？,"Shēntǐ jiànkāng bǐ gōngzuò zhòngyào, nǐ juéde ne?","Health is more important than work, what do you think?"
哪,nǎ,Question pronoun,which,哪杯咖啡？,Nǎ bēi kāfēi?,Which cup of coffee?,,,
哪儿,nǎ'er,Adj/Adv,where,你想把画挂在哪儿？我想把画挂在这儿。,Nǐ xiǎng bǎ huà guà zài nǎr？Wǒ xiǎng bǎ huà guà zài zhèr.,Where do you want to hang the painting? I want to hang the painting here.,我忘了我把刚刚买的衣服放在哪儿了！,Wǒ wàngle wǒ bǎ gānggāng mǎi de yīfu fàng zài nǎr le!,I forget where I put the clothes I just bought.
四,sì,Noun,four,中国人不喜欢数字四。,Zhōngguó rén bù xǐhuān shùzì sì.,Chinese people do not like the number four.,她的体温只有三十四度,Tā de tǐwēn zhǐyǒu sānshísì dù.,Her temperature is only thirty-four degrees Celsius.
回,huí,Verb,"to go back, to return",我晚上九点回家。,Wǒ wǎnshàng jiǔ diǎn huí jiā.,I go home at nine o'clock.,我想要自由地在国外生活一年再回国。,Wǒ xiǎngyào zìyóu de zài guówài shēnghuó yì nián zài huíguó.,I want to live abroad freely for one year and then come back.
在,zài,Adj/Adv,in,我有时候会待在图书馆里看书。,Wǒ yǒu shíhou huì dāi zài túshūguǎn lǐ kànshū.,Sometimes I will stay in the library and read books.,你要待在房间里面多久？,Nǐ yào dāi zài fángjiān lǐmiàn duōjiǔ?,How long are you going to stay in the room?
多少,duōshǎo,Phrase,How many,这个多少钱?,Zhè gè duōshǎo qián?,How much is this?,你的水瓶能装多少水？,Nǐ de shuǐpíng néng zhuāng duōshǎo shuǐ?,How much water can you hold in your water bottle?
太,tài,Adj,too (as in too many),这件衣服太贵了。,Zhè jiàn yīfú tài guìle.,This piece of clothing is too expensive.,这附近交通不太方便，我想换房子。,"Zhè fùjìn jiāotōng bú tài fāngbiàn, wǒ xiǎng huàn fángzi.","The transportation here is not too convenient, I want to move to another place."
她,tā,Pronoun,"she, her",她的手机很好。,Tā de shǒujī hěn hǎo.,Her cell phone is very good.,她唱得不错。,Tā chàng dé búcuò.,She sings well.
字,zì,Noun,"word, character",写汉字不太难。,Xiě hànzì bù tài nán.,It's not too difficult to write Chinese characters.,汉语老师教我们怎么写字。,Hànyǔ lǎoshī jiào wǒmen zěnme xiě zì.,The Chinese teacher teaches us how to write words.
小,xiǎo,Adj,small,我要小杯的绿茶。,Wǒ yào xiǎo bēi de lǜchá.,I want a small cup of green tea.,我家很小，没有厨房。,"Wǒ jiā hěn xiǎo, méiyǒu chúfáng.","My house is small, there is no kitchen."
小姐,xiǎojiě,Noun,"Miss, Ms.",张小姐，您好。,"Zhāng xiǎojiě, nín hǎo.","Hello, Miss Zhang.",工作压力很大的黄小姐，常常在假日去大自然度假，放松自己。,"Gōngzuò yālì hěn dà de huáng xiǎojiě, chángcháng zài jiàrì qù dàzìrán dùjià, fàngsōng zìjǐ","Work pressure is great for Miss Huang, she often uses her holidays to go to natural locations, in order to relax."
工作,gōngzuò,Noun/Verb,"work, to work, job",我的工作是医生。,Wǒ de gōngzuò shì yīshēng.,I work as a doctor.,他根本没有工作经验，我觉得他在骗人。,Tā gēnběn méiyǒu gōngzuò jīngyàn，wǒ juédé tā zài piànrén.,"He did not have any work experience, I think he was lying."
年,nián,Noun,year,今年是羊年。,Jīnnián shì yáng nián.,This is the year of the sheep.,新年快乐，干杯！,"Xīnnián kuàilè, gānbēi!","Happy New Year, cheers!"
很,hěn,Adj,"very, quite",我今天很累。,Wǒ jīntiān hěn lèi.,I'm so tired today.,他有很多法国朋友。,Tā yǒu hěnduō Fǎguó péngyǒu.,He has a lot of French friends.
怎么样,zěnmeyàng,Phrase,how's this? how is it? how about that?,今天晚餐吃牛肉，怎么样？,"Jīntiān wǎncān chī niúròu, zěnmeyàng?","Let’s have beef for dinner tonight, shall we?",你觉得这座城市的环境怎么样？,Nǐ juéde zhè zuò chéngshì de huánjìng zěnmeyàng?,What do you think of the city's environment?
我们,wǒmen,Pronoun,"we, us",我们是姐妹。,Wǒmen shì jiěmèi.,We are sisters.,"我们有一只狗, 他叫来福。","Wǒmen yǒu yì zhī gǒu, tā jiào lái fú.","We have a dog, it is called Lucky."
时候,shíhòu,Phrase,"when (we were doing sth...), at the time",七月的时候，我去新加坡。,"Qī yuè de shíhòu, wǒ qù xīnjiāpō.","In July, I'll go to Singapore.",你什么时候去看电影?,Nǐ shénme shíhou qù kàn diànyǐng?,When are you going to watch movie?
有,yǒu,Verb,"to have, to own",他有很多法国朋友。,Tā yǒu hěnduō Fǎguó péngyǒu.,He has a lot of French friends.,我今天晚上没有空。,Wǒ jīntiān wǎnshàng méiyǒu kòng.,I'm not free tonight.
本,běn,Measure word,measure word for books,这是一本旅游杂志。,Zhè shì yī běn lǚyóu zázhì.,This is a travel magazine.,我忘记带写字的本子了。,Wǒ wàngjì dài xiězì de běnzile.,I forgot to bring my writing notebook.
没有,méiyǒu,Verb,"to not have, don't have",我没有妹妹。,Wǒ méiyǒu mèimei.,I don't have a younger sister.,我没有时间做晚饭。,Wǒ méiyǒu shíjiān zuò wǎnfàn.,I don’t have time for making dinner.
点,diǎn,Noun,"point, o'clock",现在是五点十分。,Xiànzài shì wǔ diǎn shí fēn.,It's ten past five o'clock now.,你中午几点休息?,Nǐ zhōngwǔ jǐdiǎn xiūxi?,What time do you rest at noon?
电视,diànshì,Noun,"television, TV",我家没电视。,Wǒjiā méi diànshì.,My house doesn't have a TV.,有时候爸爸会打开电视看篮球比赛。,Yǒu shíhou bàba huì dǎkāi diànshì kàn lánqiú bǐsài.,Sometimes father will turn on the TV and watch a basketball game.
的,de,Adj/Adv,"of, possessive, belonging to",她的名字是玛丽。,Tā de míngzi shì Mǎlì.,Her name is Mary.,我的老师不是中国人。,Wǒ de lǎoshī bú shì Zhōngguó rén.,My teacher is not a Chinese.
米饭,mǐfàn,Noun,rice,我喜欢吃米饭。,Wǒ xǐhuān chī mǐfàn.,I like to eat rice.,,,
苹果,píngguǒ,Noun,apple,我喜欢苹果口味的甜食。,Wǒ xǐhuan píngguǒ kǒuwèi de tiánshí.,I like apple flavor sweets.,这颗苹果的表面很漂亮。,Zhèkē píngguǒ de biǎomiàn hěn piàoliang.,This apple looks beautiful.
读,dú,Verb,to read,读中文书不太难。,Dú zhōngwén shū bù tài nán.,It's not too hard to read Chinese books.,熬夜读书对身体不好。,Áoyè dúshū duì shēntǐ bù hǎo.,It’s not healthy to stay up that late reading.
这,zhè,Adj,this,这是我妈妈。,Zhè shì wǒ māmā.,This is my mother.,这本杂志卖得很好。,Zhè běn zázhì mài de hěn hǎo.,This magazine sells well.
都,dōu,Adj/Adv,"all, every",他们都是我的朋友。,Tāmen dōu shì wǒ de péngyǒu.,They are all my friends.,她笑起来很漂亮，大家都很喜欢她。,"Tā xiào qǐlái hěn piàoliang, dàjiā dōu hěn xǐhuan tā.","Her smiles beautifully, everyone really likes her."
里,lǐ,Adj,"in, inside",我的包里有一瓶水。,Wǒ de bāo li yǒuyī píng shuǐ.,There's a bottle of water in my bag.,谁扔了冰箱里的鸡蛋？,Shéi rēng le bīngxiāng lǐ de jīdàn?,Who threw away the eggs in the fridge?
饭店,fàndiàn,Noun,restaurant,这是一间新开的饭店。,Zhè shì yī jiàn xīn kāi de fàndiàn.,This is a newly opened hotel.,这家饭店的菜是具有代表性和地方特色的菜。,Zhè jiā fàndiàn de cài shì jùyǒu dàibiǎoxìng hé dìfāng tèsè de cài.,The food in this restaurant is the typical dish with local features.
特别,tèbié,Adj,special,你是哪国人？你的名字真特别！,Nǐ shì nǎ guórén? Nǐ de míngzì zhēn tèbié!,Where are you from? Your name is so special!,他喜欢看特别的电影。,Tā xǐhuan kàn tèbié de diànyǐng.,He likes to watch special movies.
演唱会,yǎnchànghuì,Noun,concert,你今天晚上要跟我们一起去演唱会吗？,Nǐ jīntiān wǎnshàng yào gēn wǒmen yīqǐ qù yǎnchànghuì ma?,Do you want to go to the concert with us tonight?,我们坐公共汽车去演唱会。,Wǒmen zuò gōnggòng qìchē qù yǎnchànghuì.,We take a bus to the concert.
大家,dàjiā,Noun,everyone,虽然美美不漂亮，但是大家都很喜欢她。,"Suīrán měiměi bú piàoliang, dànshì dàjiā dōu hěn xǐhuan tā.","Although Meimei isn't beautiful, everyone likes her a lot.",大家都觉得这首歌很好听。,Dàjiā dōu juéde zhè shǒu gē hěn hǎotīng.,Everyone thinks this song is good to listen.
开心,kāixīn,Adj,"to feel happy, to rejoice, to have a great time",可以跟你一起逛街，真开心！,"Kěyǐ gēn nǐ yìqǐ guàngjiē, zhēn kāixīn!",It is happy to go shopping with you.,今天是他的生日，但是为什么他看起来不太开心？,"Jīntiān shì tā de shēngrì, dànshì wèishénme tā kàn qǐlái bú tài kāixīn?","Today is his birthday, so why does he seem unhappy?"
跳舞,tiàowǔ,Verb Object,to dance,我们一起唱歌跳舞吧！,Wǒmen yìqǐ chànggē tiàowǔ ba!,Let’s sing and dance together!,昨天我跟他去酒吧跳舞，真好玩儿！,"Zuótiān wǒ gēn tā qù jiǔbā tiàowǔ, zhēn hǎowán'er!","I danced in the bar with him yesterday, it was fun!"
有名,yǒumíng,Adj,famous,这附近有一间有名的饭馆。,Zhè fùjìn yǒu yì jiān yǒumíng de fànguǎn.,There is a famous restaurant nearby.,这位歌手唱歌唱得很好听，但是他不有名。,"Zhè wèi gēshǒu chànggē chàng de hěn hǎotīng, dànshì tā bù yǒumíng.","This singer sings well, but he is not famous."
歌手,gēshǒu,Noun,singer,这位歌手很有名。,Zhè wèi gēshǒu hěn yǒumíng.,This singer is very famous.,他的爸爸是一位歌手。,Tā de bàba shì yí wèi gēshǒu.,His father is a singer.
元,yuán,Measure word,currency unit (esp. Chinese yuan),搭地铁比搭出租车便宜，车票只要五十元钱。,"Dā dìtiě bǐ dā chūzūchē piányi, chēpiào zhǐyào wǔshí yuán qián.",Taking a subway is cheaper than taxi. It only costs you fifty dollars.,一共是伍佰元钱。,Yígòng shì wǔ bǎi yuán qián.,The total is five hundred dollars.
好像,hǎoxiàng,Adv,"as if, to seem like",好像快下雨了，我们回家吧。,"Hǎoxiàng kuài xià yǔ le, wǒmen huí jiā ba.","It seems will rain soon, let’s go home.",这个演唱会好像很好玩。,Zhègè yǎnchànghuì hǎoxiàng hěn hǎowán.,This concert seems really fun.
干杯,gānbēi,Verb Object,"bottoms up , Cheers.",新年快乐，干杯！,"Xīnnián kuàilè, gānbēi!","Happy New Year, cheers!",我们来干杯吧！,Wǒmen lái gānbēi ba!,Let’s cheers!
待,dāi,Verb,to stay,我有时候会待在图书馆里看书。,Wǒ yǒu shíhou huì dāi zài túshūguǎn lǐ kànshū.,Sometimes I will stay in the library and read books.,你要待在房间里面多久？,Nǐ yào dāi zài fángjiān lǐmiàn duōjiǔ?,How long are you going to stay in the room?
放松,fàngsōng,Verb,to relax,我工作一天了，现在我只想睡觉放松。,"Wǒ gōngzuò yītiānle, xiànzài wǒ zhǐ xiǎng shuìjiào fàngsōng.","I have worked for a whole day long, now I only want to sleep and relax.",这周末我们去逛街放松，好吗？,"Zhè zhōumò wǒmen qù guàngjiē fàngsōng, hǎo ma?","Let’s go shopping and relax this weekend, shall we?"
毕业,bìyè,Verb,to graduate,我毕业以后，打算回国。,"Wǒ bìyè yǐhòu, dǎsuàn huíguó.",I plan to go back to my country after graduating.,我明年六月毕业。,Wǒ míngnián liù yuè bìyè.,I will graduate next June.
交往,jiāowǎng,Verb,"to associate (with), to date, (interpersonal) relationship",我听说他们交往了！,Wǒ tīngshuō tāmen jiāowǎng le.,I have heard that they are dating!,大家都想跟美美交往。,Dàjiā dōu xiǎng gēn měiměi jiāowǎng.,Everyone wants to make friends with Meimei.
曾经,céngjīng,Adv,"once, previously, ever, (past tense marker used before Verb or clause)",虽然她曾经很喜欢李强，但是现在她跟一成在交往。,"Suīrán tā céngjīng hěn xǐhuan LǐQiáng, dànshì xiànzài tā gēn Yīchéng zài jiāowǎng.","She once liked Liqiang very much, but now she is dating Yicheng.",他曾经是一位老师。,Tā céngjīng shì yí wèi lǎoshī.,He used to be a teacher.
马上,mǎshàng,Adv,"at once, right away, immediately",我到了车站，就马上打电话给你！,"Wǒ dào le chēzhàn, jiù mǎshàng dǎdiànhuà gěi nǐ!",I will call you right after I arrive at the station!,我得马上回家！,Wǒ děi mǎshàng huí jiā!,I need to go home right now!
房间,fángjiān,Noun,room,从我的房间可以看见外面漂亮的风景。,Cóng wǒ de fángjiān kěyǐ kànjiàn wàimiàn piàoliang de fēngjǐng.,You can see a very beautiful view out of my room.,我家有四个房间。,Wǒjiā yǒu sì gè fángjiān.,There are four rooms in my house.
阴天,yīn tiān,Noun,cloudy,今天是阴天。,Jīntiān shì yīn tiān.,Today is cloudy.,明天不会下雨，是阴天。,"Míngtiān bú huì xià yǔ, shì yīn tiān.","It won’t rain tomorrow, it will be a cloudy day."
厨房,chúfáng,Noun,kitchen,妹妹在厨房里做菜。,Mèimei zài chúfáng lǐ zuò cài.,My younger sister is cooking in the kitchen.,我家很小，没有厨房。,"Wǒ jiā hěn xiǎo, méiyǒu chúfáng.","My house is small, there is no kitchen."
蛋糕,dàngāo,Noun,cake,这是我买给你的生日蛋糕！,Zhè shì wǒ mǎi gěi nǐ de shēngrì dàngāo!,This is the birthday cake I bought you!,"这个店的蛋糕很有名, 很好吃！","Zhègè diàn de dàngāo hěn yǒumíng, hěn hǎo chī!",The cake of this store is very famous and delicious!
饿,è,Adj,to be hungry,他吃了好几个蛋糕了，他可能很饿。,"Tā chī le hǎo jǐ gè dàngāo le, tā kěnéng hěn è.","He has eaten several pieces of cake, he might be really hungry.",我不怎么饿。,Wǒ bù zěnme è.,I am not so hungry.
牛奶,niúnǎi,Noun,milk,我要去超市买牛奶。,Wǒ yào qù chāoshì mǎi niúnǎi.,I want to go to the supermarket to buy milk.,他不喝牛奶。,Tā bù hē niúnǎi.,He doesn’t drink milk.
出去,chūqù,Verb,to go out,待在家真无聊，我要出去逛街。,"Dāi zàijiā zhēn wúliáo, wǒ yào chūqù guàngjiē.","It is boring to stay at home, I want to go shopping.",外面天气好冷，大家都不想出去。,"Wàimiàn tiānqì hǎo lěng, dàjiā dōu bù xiǎng chūqù.","It is so cold outside, no one wants to go out."
游戏,yóuxì,Noun,game,你常玩手机游戏吗？,Nǐ cháng wán shǒujī yóuxì ma?,Do you often play mobile games?,听说你很喜欢玩游戏？,Tīngshuō nǐ hěn xǐhuan wán yóuxì?,I heard that you like to play games so much?
安静,ānjìng,Adj,"quiet, peaceful, calm",因为我家附近车不太多，所以很安静。,"Yīnwèi wǒ jiā fùjìn chē bú tài duō, suǒyǐ hěn ānjìng.","Because there are not many cars near my place, it’s quiet.",昨天晚上很安静，我很早就去睡觉了。,"Zuótiān wǎnshàng hěn ānjìng, wǒ hěn zǎo jiù qù shuìjiào le.",It was very quiet last night and I went to bed early.
公园,gōngyuán,Noun,park,你跟家人吃完晚饭后会去公园走走吗？,Nǐ gēn jiārén chī wán wǎnfàn hòu huì qù gōngyuán zǒu zǒu ma?,Do you go to the park after dinner with your family?,你喜欢去公园做什么？,Nǐ xǐhuan qù gōngyuán zuò shénme?,What do you like to do in the park?
发现,fāxiàn,Verb,to discover,我发现我新家附近有医院、博物馆跟电影院，太方便了。,"Wǒ fāxiàn wǒ xīn jiā fùjìn yǒu yīyuàn, bówùguǎn gēn diànyǐngyuàn, tài fāngbiàn le.","I found that there is a museum, a hospital and a movie theater near my new home, it’s very convenient.",我发现一个新的手机游戏。,Wǒ fāxiàn yīgè xīn de shǒujī yóuxì.,I found a new mobile phone game.
过马路,guò mǎlù,Verb Object,to cross the street,过马路的时候不要玩手机。,Guò mǎlù de shíhou búyào wán shǒujī.,Do not play the phone while crossing the road.,一边玩手机一边过马路很危险。,Yìbiān wán shǒujī yìbiān guò mǎlù hěn wēixiǎn.,It’s very dangerous that play the phone and cross the street at the same time.
专心,zhuānxīn,Adj,concentrated,开车不专心会很危险。,Kāichē bù zhuānxīn huì hěn wēixiǎn.,It’s very dangerous if you do not concentrate on driving.,"专心做事,不要一边上网，一边做事。","Zhuānxīn zuòshì, búyào yìbiān shàngwǎng, yìbiān zuòshì.","Be concentrate, do not do things and go on the internet at the same time."
危险,wēixiǎn,Noun/Adj,"danger, dangerous",过马路的时候玩手机、听音乐都很危险。,"Guò mǎlù de shíhou wán shǒujī, tīng yīnyuè dōu hěn wēixiǎn.",Playing mobile phones or listening to music while crossing the road are very dangerous.,一边玩手机一边过马路很危险。,Yìbiān wán shǒujī yìbiān guò mǎlù hěn wēixiǎn.,It’s very dangerous that play the phone and cross the street at the same time.
新闻,xīnwén,Noun,news,你看今天的新闻了吗？,Nǐ kàn jīntiān de xīnwén le ma?,Did you watch the news today?,我发现今天的新闻很有意思。,Wǒ fāxiàn jīntiān de xīnwén hěn yǒuyìsi.,I found that the news today is very interesting.
景点,Jǐngdiǎn,Noun,"Attractions, scenic spot, place of interest (tourism)",你最喜欢的景点在哪个国家？,Nǐ zuì xǐhuan de jǐngdiǎn zài nǎge guójiā?,Which country has your favorite attraction?,很多景点我还没去过。,Hěnduō jǐngdiǎn wǒ háiméi qù guò.,There are lots of attractions I have not been to yet.
城市,chéngshì,Noun,city,"你去过的城市,哪个最有意思？","Nǐ qùguò de chéngshì, nǎgè zuì yǒuyìsi?",Which city have you been to is the most interesting?,我最喜欢的城市是热闹的城市。,Wǒ zuì xǐhuan de chéngshì shì rènào de chéngshì.,My favorite city is the city bustling with activities.
建筑,jiànzhù,Noun,building,你觉得哪个国家的建筑最漂亮？,Nǐ juéde nǎgè guójiā de jiànzhù zuì piàoliang?,Which country's architecture do you think is the most beautiful?,这里的建筑很有名。,Zhèlǐ de jiànzhù hěn yǒumíng.,The building here is famous.
季节,jìjié,Noun,season,你喜欢在哪个季节去旅行？,Nǐ xǐhuan zài nǎgè jìjié qù lǚxíng?,In which season do you like to travel?,这个季节很舒服，不太热。,"Zhège jìjié hěn shūfú, bú tài rè.",This season is comfortable and not too hot.
夏天,xiàtiān,Noun,summer,夏天的时候你常做什么？,Xiàtiān de shíhou nǐ cháng zuò shénme?,What do you do in summer?,夏天的时候我喜欢去海边。,Xiàtiān de shíhou wǒ xǐhuan qù hǎibiān.,I like to go to the beach in summer.
排队,páiduì,Verb Object,"to line up , queue up",这家店很有名，常常需要排队。,"Zhè jiā diàn hěn yǒumíng, chángcháng xūyào páiduì.","This restaurant is famous, you need to line up often.",夏天的时候，海边附近的商店常常需要排队。,"Xiàtiān de shíhou, hǎibiān fùjìn de shāngdiàn chángcháng xūyào páiduì.","In summer time, people need to line up often for the shops near a beach."
热闹,rènào,Adj,"bustling with noise and excitement, lively",你喜欢热闹的地方吗？,Nǐ xǐhuan rènào de dìfang ma?,Do you like the place bustling with activities?,我想去热闹的地方旅游。,Wǒ xiǎng qù rènào de dìfang lǚyóu.,I would like to travel to the place bustling with activities.
晒太阳,shài tàiyáng,Verb Object,to bask in the sun,你喜欢去海边晒太阳吗？,Nǐ xǐhuan qù hǎibiān shài tàiyáng ma?,Do you like to have a sunbath on the beach?,夏天的时候，大家都喜欢去海边晒太阳。,"Xiàtiān de shíhou, dàjiā dōu xǐhuan qù hǎibiān shài tàiyáng.",Everyone likes to have a sunbath on the beach in the summer time.
甜食,tiánshí,Noun,dessert；sweet,你常吃甜食吗？,Nǐ cháng chī tiánshí ma?,Do you eat dessert often?,我家附近有一家店有很好吃的甜食。,Wǒjiā fùjìn yǒu yījiā diàn yǒu hěn hǎo chī de tiánshí.,There is a shop near my house sells delicious dessert.
健康,jiànkāng,Noun/Adj,"health, healthy",要是吃太多甜食，会不健康。,"Yàoshì chī tài duō tiánshí, huì bú jiànkāng.",Eating too many sweets is unhealthy.,要是你要健康的身体，应该要多运动和少吃甜食。,"Yàoshi nǐ yào jiànkāng de shēntǐ, yīnggāi yào duō yùndòng hé shǎo chī tiánshí.","If you want to be healthy, you should exercise more and eat sweets less."
垃圾食物,lājī shíwù,Noun,Junk food,我不常吃垃圾食物。,Wǒ bù cháng chī lājī shíwù.,I do not eat junk food often.,吃太多垃圾食物会不健康。,Chī tài duō lājī shíwù huì bú jiànkāng.,Eating too much junk food is unhealthy.
熬夜,áoyè,Verb Object,to stay up late or all night,因为工作很多，我每天都得熬夜。,"Yīnwèi gōngzuò hěnduō, wǒ měitiān dōu děi áoyè.","Because I have lots of work to do, I have to stay up late every day.",太常熬夜身体会不健康。,Tài cháng áoyè shēntǐ huì bú jiànkāng.,Staying up late often is unhealthy.
去年,qùnián,Noun,last year,去年夏天我常去海边晒太阳。,Qùnián xiàtiān wǒ cháng qù hǎibiān shài tàiyáng.,I went sunbathing frequently on the beach last summer.,去年因为我有汉语考试，所以我常熬夜学习。,"Qùnián yīnwèi wǒ yǒu Hànyǔ kǎoshì, suǒyǐ wǒ cháng áoyè xuéxí.","Because I had Chinese exam last year, I stayed up late often."
爱,ài,Noun/Verb,"love, to love",我很爱看电影，所以周末常跟朋友或家人去电影院看电影。,"Wǒ hěn ài kàn diànyǐng, suǒyǐ zhōumò cháng gēn péngyou huò jiārén qù diànyǐngyuàn kàn diànyǐng.",I love watching movies therefore I often watch movies in the theater with my friends or family.,他不爱运动，也不爱吃蔬菜水果，所以身体不健康。,"Tā bú ài yùndòng, yě bú ài chī shūcài shuǐguǒ, suǒyǐ shēntǐ bú jiànkāng.","He doesn't like to exercise, eat vegetables and fruits, so he is unhealthy."
减肥,jiǎnféi,Verb Object,to lose weight,要是你想减肥，多吃健康的食物和多运动。,"Yàoshi nǐ xiǎng jiǎnféi, duō chī jiànkāng de shíwù hé duō yùndòng.","If you want to lose weight, you should eat more healthy food and exercise more.",他觉得自己需要减肥，因为吃太多垃圾食物。,"Tā juéde zìjǐ xūyào jiǎnféi, yīnwèi chī tài duō lājī shíwù.","He thinks he needs to lose weight, because eating too much junk food."
胖,pàng,Adj,fat,我不爱运动， 也不爱吃蔬菜水果，现在我胖了。,"Wǒ bú ài yùndòng, yě bú ài chī shūcài shuǐguǒ, xiànzài wǒ pàng le.","I don't like to exercise, eat vegetables and fruits. Now I am fat.",我的哥哥最近在减肥，因为他觉得自己太胖了。,"Wǒ de gēge zuìjìn zài jiǎnféi, yīnwèi tā juéde zìjǐ tài pàng le.",My older brother is losing weight recently because he thinks he is too fat.
重要,zhòngyào,Adj,"important, significant, major",身体健康比工作重要，你觉得呢？,"Shēntǐ jiànkāng bǐ gōngzuò zhòngyào, nǐ juéde ne?","Health is more important than work, what do you think?",这件事很重要，你不能忘了。,"Zhè jiàn shì hěn zhòngyào, nǐ bùnéng wàng le.","This is really important, you can’t forget about it."
留学,liúxué,Verb Object,to study abroad,现在有很多人想到国外去留学。,Xiànzài yǒu hěnduō rén xiǎngdào guó wài qù liúxué.,Nowadays there are many people want to study abroad.,我的姐姐去年去中国留学，认识很多中国朋友。,"Wǒ de jiějie qùnián qù Zhōngguó liúxué, rènshi hěnduō Zhōngguó péngyou.",My older sister studied in China last year and made lots of Chinese friends.
友好,yǒuhǎo,Adj,friendly,虽然我不太会说汉语，但是我的中国朋友都很友好。,"Suīrán wǒ bú tài huì shuō Hànyǔ, dànshì wǒ de Zhōngguó péngyou dōu hěn yǒuhǎo.","My Chinese friends are friendly, even though my Chinese is not very good.",你是一个友好的人吗？,Nǐ shì yīgè yǒuhǎo de rén ma?,Are you a friendly person?
封,fēng,Measure word,"Measure word for sealed objects, esp. letters",我写了三封信给我的朋友们。,Wǒ xiě le sān fēng xìn gěi wǒ de péngyoumen.,I wrote three letters to my friends.,因为我很想我的爸爸妈妈，所以我常写很多封信给他们。,"Yīnwèi wǒ hěn xiǎng wǒ de bàba māma, suǒyǐ wǒ cháng xiě hěnduō fēng xìn gěi tāmen.",I miss my parents very much therefore I wrote many letters to them.
筷子,kuàizi,Noun,chopsticks,很多人不太会用筷子。,Hěnduō rén bú tài huì yòng kuàizi.,Most of the people don't know how to use chopsticks.,中国人常用筷子吃饭。,Zhōngguó rén chángyòng kuàizi chīfàn.,Chinese eats with chopsticks often.
刀叉,dāo chā,Noun,knife and fork,西方人习惯用刀叉吃饭。,Xīfāng rén xíguàn yòng dāo chā chīfàn.,Western are used to eat with a knife and fork.,我不习惯用刀叉吃饭，我习惯用筷子。,"Wǒ bù xíguàn yòng dāo chā chīfàn, wǒ xíguàn yòng kuàizi.","I don’t get used to eating with fork and knife, I get used to eating with chopsticks."
西方,xīfāng,Noun,Western,我很喜欢西方的音乐，可是我爸妈不喜欢。,"Wǒ hěn xǐhuan xīfāng de yīnyuè, kěshì wǒ bà mā bù xǐhuan.","I like western music very much, but my parents don’t.",现在很多西方人喜欢到中国来旅游。,Xiànzài hěnduō xīfāng rén xǐhuan dào Zhōngguó lái lǚyóu.,"Nowadays, many western like to go travel in China."
口味,kǒuwèi,Noun,"a person's preferences, tastes (in food), flavor",中国菜和韩国菜的口味不一样。,Zhōngguó cài hé Hánguó cài de kǒuwèi bù yíyàng.,Chinese and Korean food tastes different.,我喜欢苹果口味的甜食。,Wǒ xǐhuan píngguǒ kǒuwèi de tiánshí.,I like apple flavor sweets.
差不多,chàbuduō,Adj,"more or less,about the same",每个国家的麦当劳都差不多。,Měi gè guójiā de Màidāngláo dōu chàbuduō.,McDonald’s in every country are almost the same.,这家咖啡店和我家附近的咖啡店的咖啡口味差不多。,Zhè jiā kāfēi diàn hé wǒ jiā fùjìn de kāfēi diàn de kāfēi kǒuwèi chàbuduō.,This coffee shop is similar to the coffee shop near my place.
一样,yíyàng,Adj,"same, like, equal to, the same as, just like",他跟他哥哥一样高。,Tā gēn tā gēge yíyàng gāo.,He and his older brother’s height are the same.,中国菜和美国菜一样好吃。,Zhōngguó cài hé Měiguó cài yīyàng hǎo chī.,Chinese food is as delicious as American food.
风,fēng,Noun,wind,今天雨很大，风也很大。,"Jīntiān yǔ hěn dà, fēng yě hěn dà.",It’s windy and raining heavily today.,外面风有点儿大，出门要小心。,"Wàimiàn fēng yǒudiǎn'er dà, chūmén yào xiǎoxīn.","It’s windy outside, you should be careful when you go out."
预报,yùbào,Noun,forecast,你看明天的天气预报了吗？,Nǐ kàn míngtiān de tiānqì yùbào le ma?,Did you watch the weather forecast for tomorrow?,我看天气预报了，今天会很冷。,"Wǒ kàn tiānqì yùbào le, jīntiān huì hěn lěng.",I watched the weather forecast. It will be cold today.
月底,yuèdǐ,Noun,end of the month,听说这个月月底会很冷。,Tīngshuō zhègè yuè yuèdǐ huì hěn lěng.,I heard that it will be very cold in the end of this month.,每个月底我都会去学校考试。,Měi gè yuèdǐ wǒ dūhuì qù xuéxiào kǎoshì.,"At the end of each month, I will have school exam."
湿,shī,Adj,wet,湿冷的天气非常不舒服。,Shīlěng de tiānqì fēicháng bù shūfu.,The humid and cold weather is uncomfortable.,今天忘了带伞出门，所以衣服都湿了。,"Jīntiān wàng le dài sǎn chūmén, suǒyǐ yīfu dōu shī le.","I forgot to bring umbrella today, so my clothes were all wet."
